species,category,pattern_type,peak_frequency,min_frequency,min_max_ratio,weeks_with_presence,num_valleys,valleys,valley_types,is_overwintering,edge_case_flags
Sedge Wren,single-season,summer,0.00679,0.0,0.0,18,1,28-26,winter,No,
Marsh Wren,single-season,summer,0.05832,0.0,0.0,42,1,38-15,winter,No,
Carolina Wren,resident,year-round,0.176648,0.072505,0.4105,48,0,,,No,seasonal_variation
European Starling,resident,year-round,0.515281,0.27947,0.5424,48,0,,,No,
Gray Catbird,single-season,summer,0.403275,0.0,0.0,47,1,38-15,winter,No,
Brown Thrasher,two-passage-migrant,two-passage,0.060037,0.0,0.0,44,2,26-32;37-12,summer|winter,No,classic_bimodal
Northern Mockingbird,two-passage-migrant,two-passage,0.009913,0.000597,0.0602,48,2,7-15;25-43,winter|summer,No,classic_bimodal
Eastern Bluebird,resident,year-round,0.064792,0.013481,0.2081,48,0,,,No,seasonal_variation
Varied Thrush,vagrant,irregular,0.006489,0.0,0.0,8,1,7-5,winter,No,low_annual_presence
Veery,two-passage-migrant,two-passage,0.076083,0.0,0.0,21,2,20-31;34-15,summer|winter,No,classic_bimodal
Gray-cheeked Thrush,two-passage-migrant,two-passage,0.030431,0.0,0.0,13,2,20-31;37-15,summer|winter,No,classic_bimodal|low_presence
Swainson's Thrush,two-passage-migrant,two-passage,0.184237,0.0,0.0,19,2,20-31;38-15,summer|winter,No,classic_bimodal
Hermit Thrush,two-passage-migrant,two-passage,0.160441,0.0,0.0,36,2,17-35;41-11,summer|winter,Yes,classic_bimodal
Wood Thrush,single-season,summer,0.135107,0.0,0.0,28,1,27-15,winter,No,
American Robin,resident,year-round,0.823773,0.219993,0.2671,48,0,,,No,seasonal_variation
Bohemian Waxwing,vagrant,irregular,0.003037,0.0,0.0,4,1,0-47,winter,No,low_peak_frequency|low_annual_presence
Cedar Waxwing,single-season,summer,0.216952,0.005618,0.0259,48,1,44-16,winter,No,
House Sparrow,resident,year-round,0.552092,0.247954,0.4491,48,0,,,No,seasonal_variation
American Pipit,single-season,summer,0.021403,0.0,0.0,32,1,44-34,winter,No,
Evening Grosbeak,vagrant,irregular,0.00281,0.0,0.0,15,1,0-47,winter,Yes,low_peak_frequency
Pine Grosbeak,vagrant,irregular,0.000283,0.0,0.0,1,1,0-47,winter,No,low_peak_frequency|low_annual_presence
House Finch,resident,year-round,0.30927,0.170438,0.5511,48,0,,,No,
Purple Finch,two-passage-migrant,two-passage,0.054801,0.0,0.0,36,2,17-33;44-13,summer|winter,Yes,classic_bimodal
Redpoll,vagrant,irregular,0.009316,0.0,0.0,25,1,5-42,summer,Yes,overwintering|low_annual_presence
Red Crossbill,vagrant,irregular,0.0015,0.0,0.0,6,1,0-47,winter,No,low_peak_frequency|low_annual_presence
White-winged Crossbill,vagrant,irregular,0.004214,0.0,0.0,21,1,0-47,winter,No,low_peak_frequency|low_annual_presence
European Goldfinch,vagrant,irregular,0.001999,0.0,0.0,20,1,0-47,winter,Yes,low_peak_frequency
Gray-crowned Goldfinch,vagrant,irregular,0.000597,0.0,0.0,1,1,0-47,winter,No,low_peak_frequency|low_annual_presence
Pine Siskin,single-season,winter,0.029977,0.0,0.0,40,1,18-35,summer,No,overwintering
