species,category,pattern_type,peak_frequency,min_frequency,min_max_ratio,weeks_with_presence,num_valleys,valleys,valley_types,is_overwintering,edge_case_flags
Greater Yellowlegs,two-passage-migrant,two-passage,0.047262,0.0,0.0,30,2,19-25;41-12,summer|winter,No,classic_bimodal
Ruddy Turnstone,two-passage-migrant,two-passage,0.034848,0.0,0.0,18,2,21-26;36-17,summer|winter,No,classic_bimodal
Red Knot,vagrant,irregular,0.032323,0.0,0.0,6,1,34-30,winter,No,
Curlew Sandpiper,vagrant,irregular,0.0015,0.0,0.0,1,1,0-47,winter,No,low_peak_frequency|low_annual_presence
Stilt Sandpiper,vagrant,irregular,0.02013,0.0,0.0,9,1,33-29,winter,No,
Buff-breasted Sandpiper,vagrant,irregular,0.028571,0.0,0.0,7,1,35-30,winter,No,
Sanderling,single-season,summer,0.165349,0.0,0.0,27,1,42-25,winter,No,
Dunlin,two-passage-migrant,two-passage,0.055369,0.0,0.0,22,2,20-35;43-16,summer|winter,No,classic_bimodal
Purple Sandpiper,vagrant,irregular,0.068564,0.0,0.0,25,2,2-33;35-38,summer|mixed,Yes,two_valleys_close
Baird's Sandpiper,vagrant,irregular,0.042929,0.0,0.0,9,1,35-27,winter,No,
White-rumped Sandpiper,vagrant,irregular,0.006452,0.0,0.0,8,1,38-35,winter,No,
Least Sandpiper,two-passage-migrant,two-passage,0.123669,0.0,0.0,23,2,19-25;34-17,summer|winter,No,classic_bimodal
Pectoral Sandpiper,two-passage-migrant,two-passage,0.045045,0.0,0.0,25,2,17-25;39-15,summer|winter,No,classic_bimodal
Semipalmated Sandpiper,single-season,summer,0.133838,0.0,0.0,19,1,34-26,winter,No,
Parasitic Jaeger,vagrant,irregular,0.005952,0.0,0.0,4,1,35-32,winter,No,low_annual_presence
Pomarine Jaeger,vagrant,irregular,0.000585,0.0,0.0,1,1,0-47,winter,No,low_peak_frequency|low_annual_presence
Little Gull,single-season,summer,0.027318,0.0,0.0,16,1,34-32,winter,No,
Black-legged Kittiwake,single-season,winter,0.02378,0.0,0.0,14,1,5-46,summer,Yes,overwintering|low_presence
Bonaparte's Gull,two-passage-migrant,two-passage,0.137067,0.0,0.0,41,2,0-13;15-26,winter|summer,No,classic_bimodal
Laughing Gull,vagrant,irregular,0.01945,0.0,0.0,9,1,25-19,winter,No,
Franklin's Gull,single-season,summer,0.005606,0.0,0.0,16,1,37-35,winter,No,
Short-billed Gull,vagrant,irregular,0.0015,0.0,0.0,1,1,0-47,winter,No,low_peak_frequency|low_annual_presence
Ring-billed Gull,resident,year-round,0.394444,0.11857,0.3006,48,0,,,No,seasonal_variation
American Herring Gull,resident,year-round,0.264435,0.059165,0.2237,48,0,,,No,seasonal_variation
Great Black-backed Gull,single-season,winter,0.140362,0.005071,0.0361,48,2,13-19;21-25,summer|summer,No,overwintering|two_summer_valleys_merged
Glaucous Gull,single-season,winter,0.02426,0.0,0.0,33,1,12-41,summer,Yes,overwintering
Lesser Black-backed Gull,single-season,winter,0.028031,0.0,0.0,47,1,12-18,summer,No,overwintering
