species,category,pattern_type,peak_frequency,min_frequency,min_max_ratio,weeks_with_presence,num_valleys,valleys,valley_types,is_overwintering,edge_case_flags
Green Heron,single-season,summer,0.02346,0.0,0.0,19,1,35-15,winter,No,
Western Cattle-Egret,vagrant,irregular,0.0015,0.0,0.0,1,1,0-47,winter,No,low_peak_frequency|low_annual_presence
Great Egret,two-passage-migrant,two-passage,0.092593,0.0,0.0,24,2,17-26;38-15,summer|winter,No,classic_bimodal
Great Blue Heron,single-season,summer,0.41358,0.0,0.0,33,1,39-12,winter,No,
American White Pelican,single-season,summer,0.036539,0.0,0.0,18,1,34-15,winter,No,
Turkey Vulture,single-season,summer,0.182724,0.0,0.0,30,1,39-11,winter,No,
Osprey,single-season,summer,0.29912,0.0,0.0,26,1,33-12,winter,No,
Swallow-tailed Kite,vagrant,irregular,0.0015,0.0,0.0,1,1,0-47,winter,No,low_peak_frequency|low_annual_presence
Golden Eagle,vagrant,irregular,0.041667,0.0,0.0,6,2,10-38;44-8,summer|winter,No,low_annual_presence
Sharp-shinned Hawk,two-passage-migrant,two-passage,0.078947,0.0,0.0,32,2,25-28;40-7,summer|winter,No,classic_bimodal
Cooper's Hawk,single-season,summer,0.05,0.0,0.0,36,1,40-47,winter,No,
American Goshawk,two-passage-migrant,two-passage,0.05,0.0,0.0,21,3,3-10;12-37;39-46,winter|summer|winter,No,three_valley_migrant
Northern Harrier,single-season,summer,0.274286,0.0,0.0,33,1,42-10,winter,No,
Bald Eagle,resident,year-round,0.41573,0.037037,0.0891,48,0,,,No,seasonal_variation|min_max_near_boundary
Broad-winged Hawk,single-season,summer,0.102941,0.0,0.0,23,1,37-13,winter,No,
Red-shouldered Hawk,vagrant,irregular,0.025641,0.0,0.0,21,2,35-40;42-17,mixed|winter,No,two_valleys_close
Red-tailed Hawk,single-season,summer,0.104167,0.0,0.0,41,1,3-8,winter,No,
Rough-legged Hawk,two-passage-migrant,two-passage,0.230769,0.0,0.0,28,2,3-6;16-38,winter|summer,Yes,classic_bimodal
Snowy Owl,vagrant,irregular,0.071429,0.0,0.0,14,1,3-40,summer,No,overwintering|low_presence|low_annual_presence
Great Horned Owl,vagrant,irregular,0.04,0.0,0.0,21,7,4-7;9-14;16-22;25-28;31-34;38-41;43-47,winter|winter|summer|summer|summer|winter|winter,No,many_valleys
Northern Hawk Owl,vagrant,irregular,0.035714,0.0,0.0,4,2,0-4;6-43,winter|summer,No,low_annual_presence
Barred Owl,vagrant,irregular,0.041056,0.0,0.0,32,2,4-9;38-47,winter|winter,No,two_valleys_same_season
Great Gray Owl,vagrant,irregular,0.00295,0.0,0.0,3,1,0-47,winter,No,low_peak_frequency|low_annual_presence
Long-eared Owl,vagrant,irregular,0.035714,0.0,0.0,3,2,0-12;14-43,winter|summer,No,low_annual_presence
