species,category,pattern_type,status,arrival,peak,departure,spring_arrival,spring_peak,spring_departure,fall_arrival,fall_peak,fall_departure,winter_arrival,winter_peak,winter_departure,first_appears,last_appears
Snow Bunting,two-passage-migrant,two-passage,,,,,February 1-7,February 1-7,February 8-14,October 22-31,November 8-14,December 22-31,,,,,
Grasshopper Sparrow,two-passage-migrant,two-passage,,,,,May 22-31,June 1-7,June 15-21,July 22-31,July 22-31,August 1-7,,,,,
Chipping Sparrow,single-season,summer,,April 8-14,June 15-21,September 1-7,,,,,,,,,,,
Clay-colored Sparrow,single-season,summer,,May 1-7,June 1-7,September 1-7,,,,,,,,,,,
Field Sparrow,two-passage-migrant,two-passage,,,,,April 1-7,June 15-21,July 22-31,September 8-14,September 8-14,September 8-14,,,,,
Lark Sparrow,vagrant,irregular,irregular,,April 15-21,,,,,,,,,,,April 15-21,April 15-21
American Tree Sparrow,vagrant,irregular,irregular,,December 1-7,,,,,,,,,,,January 1-7,December 22-31
Fox Sparrow,single-season,summer,,April 8-14,April 8-14,April 22-30,,,,,,,,,,,
Dark-eyed Junco,two-passage-migrant,two-passage,,,,,February 8-14,April 15-21,May 1-7,September 22-30,October 15-21,November 22-30,,,,,
White-crowned Sparrow,two-passage-migrant,two-passage,,,,,May 1-7,May 8-14,May 15-21,September 22-30,October 1-7,October 15-21,,,,,
White-throated Sparrow,single-season,summer,,April 15-21,September 22-30,October 8-14,,,,,,,,,,,
Vesper Sparrow,single-season,summer,,April 15-21,June 15-21,October 1-7,,,,,,,,,,,
LeConte's Sparrow,vagrant,irregular,irregular,,October 1-7,,,,,,,,,,,May 15-21,October 1-7
Savannah Sparrow,two-passage-migrant,two-passage,,,,,April 15-21,July 8-14,July 15-21,September 1-7,September 8-14,October 8-14,,,,,
Henslow's Sparrow,vagrant,irregular,irregular,,June 8-14,,,,,,,,,,,June 8-14,June 15-21
Song Sparrow,single-season,summer,,March 22-31,July 8-14,October 8-14,,,,,,,,,,,
Lincoln's Sparrow,two-passage-migrant,two-passage,,,,,April 22-30,May 8-14,May 15-21,September 1-7,September 15-21,October 1-7,,,,,
Swamp Sparrow,single-season,summer,,April 22-30,May 15-21,October 8-14,,,,,,,,,,,
Eastern Towhee,vagrant,irregular,irregular,,June 8-14,,,,,,,,,,,January 1-7,December 1-7
Yellow-headed Blackbird,vagrant,irregular,irregular,,September 15-21,,,,,,,,,,,April 22-30,September 15-21
Bobolink,single-season,summer,,May 8-14,June 8-14,July 8-14,,,,,,,,,,,
Western Meadowlark,vagrant,irregular,irregular,,May 1-7,,,,,,,,,,,May 1-7,May 1-7
Eastern Meadowlark,single-season,summer,,March 22-31,June 8-14,July 8-14,,,,,,,,,,,
Orchard Oriole,vagrant,irregular,irregular,,May 8-14,,,,,,,,,,,May 8-14,June 15-21
Baltimore Oriole,two-passage-migrant,two-passage,,,,,May 8-14,May 8-14,July 1-7,August 8-14,August 8-14,September 1-7,,,,,
Red-winged Blackbird,single-season,summer,,March 1-7,June 1-7,October 8-14,,,,,,,,,,,
Brown-headed Cowbird,single-season,summer,,April 1-7,May 8-14,August 8-14,,,,,,,,,,,
Rusty Blackbird,two-passage-migrant,two-passage,,,,,April 15-21,April 15-21,May 8-14,September 8-14,September 22-30,October 8-14,,,,,
Brewer's Blackbird,two-passage-migrant,two-passage,,,,,April 15-21,May 1-7,June 8-14,September 15-21,October 15-21,October 15-21,,,,,
Common Grackle,single-season,summer,,March 15-21,June 1-7,October 1-7,,,,,,,,,,,
Ovenbird,single-season,summer,,May 8-14,June 1-7,July 15-21,,,,,,,,,,,
Northern Waterthrush,single-season,summer,,May 1-7,May 15-21,July 22-31,,,,,,,,,,,
Golden-winged Warbler,two-passage-migrant,two-passage,,,,,May 8-14,May 15-21,June 22-30,August 8-14,August 8-14,August 8-14,,,,,
Blue-winged Warbler,vagrant,irregular,irregular,,June 15-21,,,,,,,,,,,May 22-31,September 15-21
Black-and-white Warbler,single-season,summer,,May 1-7,May 15-21,September 15-21,,,,,,,,,,,
Tennessee Warbler,two-passage-migrant,two-passage,,,,,May 15-21,May 15-21,May 22-31,August 22-31,September 8-14,September 22-30,,,,,
Orange-crowned Warbler,vagrant,irregular,irregular,,October 15-21,,,,,,,,,,,May 1-7,October 15-21
Nashville Warbler,single-season,summer,,May 1-7,May 15-21,September 22-30,,,,,,,,,,,
Connecticut Warbler,vagrant,irregular,irregular,,May 22-31,,,,,,,,,,,May 15-21,May 22-31
Mourning Warbler,single-season,summer,,May 15-21,June 1-7,August 8-14,,,,,,,,,,,
Common Yellowthroat,single-season,summer,,May 8-14,June 1-7,September 15-21,,,,,,,,,,,
American Redstart,single-season,summer,,May 8-14,June 1-7,September 15-21,,,,,,,,,,,
Kirtland's Warbler,vagrant,irregular,irregular,,June 1-7,,,,,,,,,,,May 15-21,July 15-21
Cape May Warbler,two-passage-migrant,two-passage,,,,,May 8-14,May 15-21,June 1-7,August 15-21,September 1-7,September 15-21,,,,,
Northern Parula,two-passage-migrant,two-passage,,,,,May 8-14,May 15-21,July 15-21,September 1-7,September 8-14,September 8-14,,,,,
Magnolia Warbler,two-passage-migrant,two-passage,,,,,May 8-14,May 15-21,June 22-30,August 22-31,August 22-31,September 22-30,,,,,
Bay-breasted Warbler,two-passage-migrant,two-passage,,,,,May 15-21,May 15-21,May 22-31,August 15-21,August 22-31,September 22-30,,,,,
Blackburnian Warbler,single-season,summer,,May 8-14,June 1-7,September 15-21,,,,,,,,,,,
Northern Yellow Warbler,single-season,summer,,May 8-14,June 1-7,August 15-21,,,,,,,,,,,
Chestnut-sided Warbler,single-season,summer,,May 8-14,May 22-31,September 8-14,,,,,,,,,,,
Blackpoll Warbler,two-passage-migrant,two-passage,,,,,May 8-14,May 15-21,May 22-31,August 22-31,September 15-21,September 22-30,,,,,
Black-throated Blue Warbler,two-passage-migrant,two-passage,,,,,May 8-14,May 15-21,July 15-21,August 22-31,September 8-14,September 15-21,,,,,
Palm Warbler,two-passage-migrant,two-passage,,,,,April 22-30,May 1-7,May 15-21,September 8-14,September 8-14,October 1-7,,,,,
Pine Warbler,single-season,summer,,April 15-21,June 1-7,September 15-21,,,,,,,,,,,
Yellow-rumped Warbler,single-season,summer,,April 8-14,May 8-14,October 15-21,,,,,,,,,,,
Black-throated Green Warbler,single-season,summer,,May 1-7,May 8-14,September 22-30,,,,,,,,,,,
Canada Warbler,single-season,summer,,May 15-21,June 1-7,September 1-7,,,,,,,,,,,
Wilson's Warbler,vagrant,irregular,irregular,,May 22-31,,,,,,,,,,,May 8-14,September 15-21
Summer Tanager,vagrant,irregular,irregular,,May 22-31,,,,,,,,,,,May 22-31,May 22-31
Scarlet Tanager,single-season,summer,,May 8-14,June 22-30,August 22-31,,,,,,,,,,,
Northern Cardinal,resident,year-round,year-round,,,,,,,,,,,,,,
Rose-breasted Grosbeak,single-season,summer,,May 1-7,May 8-14,September 15-21,,,,,,,,,,,
Indigo Bunting,single-season,summer,,May 8-14,June 15-21,August 8-14,,,,,,,,,,,
Painted Bunting,vagrant,irregular,irregular,,May 15-21,,,,,,,,,,,May 15-21,May 15-21
Dickcissel,vagrant,irregular,irregular,,June 8-14,,,,,,,,,,,June 1-7,July 15-21
